,Pincode,Placename,District,State,Taluka,Latitude,Longitude,Full_address
36442,400087,NITIE,Mumbai,Maharashtra,Mumbai,19.1247,72.9488,"NITIE,Mumbai,Mumbai"
36448,400091,Borivali,Mumbai,Maharashtra,Borivali West,19.235,72.8598,"Borivali,Borivali West,Mumbai"
36449,400092,Borivali West,Mumbai,Maharashtra,Borivali West,19.2361,72.8338,"Borivali West,Borivali West,Mumbai"
36450,400093,Chakala Midc,Mumbai,Maharashtra,Mumbai,19.2355,72.8468,"Chakala Midc,Mumbai,Mumbai"
36452,400095,Kharodi,Mumbai,Maharashtra,Malad West,19.2355,72.8468,"Kharodi,Malad West,Mumbai"
36453,400095,Ins Hamla,Mumbai,Maharashtra,Malad West,19.2355,72.8468,"Ins Hamla,Malad West,Mumbai"
36454,400096,Seepz,Mumbai,Maharashtra,Mumbai,19.2355,72.8468,"Seepz,Mumbai,Mumbai"
36455,400097,Malad East,Mumbai,Maharashtra,Malad East,19.2355,72.8468,"Malad East,Malad East,Mumbai"
36456,400097,Rani Sati Marg,Mumbai,Maharashtra,Malad East,19.2355,72.8468,"Rani Sati Marg,Malad East,Mumbai"
36457,400098,Vidyanagari,Mumbai,Maharashtra,Mumbai,19.2355,72.8468,"Vidyanagari,Mumbai,Mumbai"
36458,400099,Sahar P & T Colony,Mumbai,Maharashtra,Mumbai,19.2355,72.8468,"Sahar P & T Colony,Mumbai,Mumbai"
36459,400099,International Airport,Mumbai,Maharashtra,Mumbai,19.2355,72.8468,"International Airport,Mumbai,Mumbai"
36460,400099,Sahargaon,Mumbai,Maharashtra,Mumbai,19.2355,72.8468,"Sahargaon,Mumbai,Mumbai"
36461,400099,Airport (Mumbai),Mumbai,Maharashtra,Mumbai,19.2355,72.8468,"Airport (Mumbai),Mumbai,Mumbai"
36462,400101,Kandivali East,Mumbai,Maharashtra,Kandivali East,19.0499,73.259,"Kandivali East,Kandivali East,Mumbai"
36463,400102,Jogeshwari West,Mumbai,Maharashtra,Jogeshwari West,19.0499,73.259,"Jogeshwari West,Jogeshwari West,Mumbai"
36464,400102,Oshiwara,Mumbai,Maharashtra,Jogeshwari West,19.0499,73.259,"Oshiwara,Jogeshwari West,Mumbai"
36465,400103,Mandapeshwar,Mumbai,Maharashtra,Borivali West,19.0499,73.259,"Mandapeshwar,Borivali West,Mumbai"
36466,400104,Motilal Nagar,Mumbai,Maharashtra,Goregaon West,19.0499,73.259,"Motilal Nagar,Goregaon West,Mumbai"
36467,400104,Goregaon (Mumbai),Mumbai,Maharashtra,Goregaon West,19.0499,73.259,"Goregaon (Mumbai),Goregaon West,Mumbai"
36468,400104,Goregaon RS,Mumbai,Maharashtra,Goregaon West,19.0499,73.259,"Goregaon RS,Goregaon West,Mumbai"
36469,400104,Bangur Nagar,Mumbai,Maharashtra,Goregaon West,19.0499,73.259,"Bangur Nagar,Goregaon West,Mumbai"
